fecha;abrir;max;min;cierre;cierre_ajus;
18-09-2024;2,6169;2,6169;2,6169;2,6169;2,6169;
17-09-2024;2,6163;2,6163;2,6163;2,6163;2,6163;
13-09-2024;2,6423;2,6423;2,6423;2,6423;2,6423;
12-09-2024;2,6568;2,6568;2,6568;2,6568;2,6568;
11-09-2024;2,6502;2,6502;2,6502;2,6502;2,6502;
10-09-2024;2,5937;2,5937;2,5937;2,5937;2,5937;
09-09-2024;2,5740;2,5740;2,5740;2,5740;2,5740;
06-09-2024;2,6298;2,6298;2,6298;2,6298;2,6298;
05-09-2024;2,6251;2,6251;2,6251;2,6251;2,6251;
04-09-2024; ; ; ; ; ;
03-09-2024;2,6736;2,6736;2,6736;2,6736;2,6736;
02-09-2024;2,6615;2,6615;2,6615;2,6615;2,6615;
30-08-2024;2,6500;2,6500;2,6500;2,6500;2,6500;
29-08-2024;2,6287;2,6287;2,6287;2,6287;2,6287;
28-08-2024;2,6660;2,6660;2,6660;2,6660;2,6660;
27-08-2024;2,6177;2,6177;2,6177;2,6177;2,6177;
26-08-2024;2,5957;2,5957;2,5957;2,5957;2,5957;
23-08-2024;2,6163;2,6163;2,6163;2,6163;2,6163;
22-08-2024;2,6390;2,6390;2,6390;2,6390;2,6390;
21-08-2024;2,5793;2,5793;2,5793;2,5793;2,5793;
20-08-2024;2,5496;2,5496;2,5496;2,5496;2,5496;
19-08-2024;2,5084;2,5084;2,5084;2,5084;2,5084;
16-08-2024;2,5024;2,5024;2,5024;2,5024;2,5024;
15-08-2024;2,4666;2,4666;2,4666;2,4666;2,4666;
14-08-2024;2,4867;2,4867;2,4867;2,4867;2,4867;
13-08-2024;2,4332;2,4332;2,4332;2,4332;2,4332;
12-08-2024;2,4037;2,4037;2,4037;2,4037;2,4037;
09-08-2024;2,4065;2,4065;2,4065;2,4065;2,4065;
08-08-2024;2,3847;2,3847;2,3847;2,3847;2,3847;
07-08-2024;2,4385;2,4385;2,4385;2,4385;2,4385;
06-08-2024;2,3925;2,3925;2,3925;2,3925;2,3925;
05-08-2024;2,4427;2,4427;2,4427;2,4427;2,4427;
02-08-2024;2,4573;2,4573;2,4573;2,4573;2,4573;
01-08-2024;2,4816;2,4816;2,4816;2,4816;2,4816;
31-07-2024;2,4383;2,4383;2,4383;2,4383;2,4383;
30-07-2024;2,4453;2,4453;2,4453;2,4453;2,4453;
29-07-2024;2,4111;2,4111;2,4111;2,4111;2,4111;
26-07-2024;2,3894;2,3894;2,3894;2,3894;2,3894;
25-07-2024;2,3876;2,3876;2,3876;2,3876;2,3876;
24-07-2024;2,4537;2,4537;2,4537;2,4537;2,4537;
23-07-2024;2,4275;2,4275;2,4275;2,4275;2,4275;
22-07-2024;2,4052;2,4052;2,4052;2,4052;2,4052;
19-07-2024;2,4087;2,4087;2,4087;2,4087;2,4087;
18-07-2024;2,3916;2,3916;2,3916;2,3916;2,3916;
17-07-2024;2,4376;2,4376;2,4376;2,4376;2,4376;
16-07-2024;2,4421;2,4421;2,4421;2,4421;2,4421;
15-07-2024;2,4256;2,4256;2,4256;2,4256;2,4256;
12-07-2024;2,4372;2,4372;2,4372;2,4372;2,4372;
11-07-2024;2,4893;2,4893;2,4893;2,4893;2,4893;
10-07-2024;2,4843;2,4843;2,4843;2,4843;2,4843;
09-07-2024;2,4963;2,4963;2,4963;2,4963;2,4963;
08-07-2024;2,5153;2,5153;2,5153;2,5153;2,5153;
05-07-2024;2,4891;2,4891;2,4891;2,4891;2,4891;
04-07-2024;2,5029;2,5029;2,5029;2,5029;2,5029;
03-07-2024;2,4915;2,4915;2,4915;2,4915;2,4915;
02-07-2024;2,4815;2,4815;2,4815;2,4815;2,4815;
01-07-2024;2,4535;2,4535;2,4535;2,4535;2,4535;
28-06-2024;2,4904;2,4904;2,4904;2,4904;2,4904;
27-06-2024;2,4776;2,4776;2,4776;2,4776;2,4776;
26-06-2024;2,4331;2,4331;2,4331;2,4331;2,4331;
25-06-2024;2,3841;2,3841;2,3841;2,3841;2,3841;
24-06-2024;2,4267;2,4267;2,4267;2,4267;2,4267;
21-06-2024;2,4607;2,4607;2,4607;2,4607;2,4607;
20-06-2024;2,4789;2,4789;2,4789;2,4789;2,4789;
19-06-2024;2,4734;2,4734;2,4734;2,4734;2,4734;
18-06-2024;2,4879;2,4879;2,4879;2,4879;2,4879;
17-06-2024;2,4567;2,4567;2,4567;2,4567;2,4567;
14-06-2024;2,4549;2,4549;2,4549;2,4549;2,4549;
13-06-2024;2,4920;2,4920;2,4920;2,4920;2,4920;
12-06-2024;2,4251;2,4251;2,4251;2,4251;2,4251;
11-06-2024;2,4081;2,4081;2,4081;2,4081;2,4081;
10-06-2024;2,4132;2,4132;2,4132;2,4132;2,4132;
07-06-2024;2,3573;2,3573;2,3573;2,3573;2,3573;
06-06-2024;2,3000;2,3000;2,3000;2,3000;2,3000;
05-06-2024;2,3067;2,3067;2,3067;2,3067;2,3067;
04-06-2024;2,2729;2,2729;2,2729;2,2729;2,2729;
03-06-2024;2,1548;2,1548;2,1548;2,1548;2,1548;
31-05-2024;2,1475;2,1475;2,1475;2,1475;2,1475;
30-05-2024;2,1784;2,1784;2,1784;2,1784;2,1784;
29-05-2024;2,1707;2,1707;2,1707;2,1707;2,1707;
28-05-2024;2,1446;2,1446;2,1446;2,1446;2,1446;
27-05-2024;2,1493;2,1493;2,1493;2,1493;2,1493;
24-05-2024;2,1380;2,1380;2,1380;2,1380;2,1380;
23-05-2024;2,1438;2,1438;2,1438;2,1438;2,1438;
22-05-2024;2,1467;2,1467;2,1467;2,1467;2,1467;
21-05-2024;2,1307;2,1307;2,1307;2,1307;2,1307;
20-05-2024;2,1290;2,1290;2,1290;2,1290;2,1290;
17-05-2024;2,1316;2,1316;2,1316;2,1316;2,1316;
16-05-2024;2,1330;2,1330;2,1330;2,1330;2,1330;
15-05-2024;2,1354;2,1354;2,1354;2,1354;2,1354;
14-05-2024;2,1185;2,1185;2,1185;2,1185;2,1185;
13-05-2024;2,1123;2,1123;2,1123;2,1123;2,1123;
10-05-2024;2,1157;2,1157;2,1157;2,1157;2,1157;
09-05-2024;2,1238;2,1238;2,1238;2,1238;2,1238;
08-05-2024;2,1326;2,1326;2,1326;2,1326;2,1326;
07-05-2024;2,1397;2,1397;2,1397;2,1397;2,1397;
06-05-2024;2,1194;2,1194;2,1194;2,1194;2,1194;
03-05-2024;2,1004;2,1004;2,1004;2,1004;2,1004;
02-05-2024;2,0896;2,0896;2,0896;2,0896;2,0896;
30-04-2024;2,1172;2,1172;2,1172;2,1172;2,1172;
29-04-2024;2,1178;2,1178;2,1178;2,1178;2,1178;
26-04-2024;2,0930;2,0930;2,0930;2,0930;2,0930;
25-04-2024;2,0935;2,0935;2,0935;2,0935;2,0935;
24-04-2024;2,0840;2,0840;2,0840;2,0840;2,0840;
23-04-2024;2,0724;2,0724;2,0724;2,0724;2,0724;
22-04-2024;2,0541;2,0541;2,0541;2,0541;2,0541;
19-04-2024;2,0895;2,0895;2,0895;2,0895;2,0895;
18-04-2024;2,0922;2,0922;2,0922;2,0922;2,0922;
17-04-2024;2,1184;2,1184;2,1184;2,1184;2,1184;
16-04-2024;2,0777;2,0777;2,0777;2,0777;2,0777;
15-04-2024;2,1100;2,1100;2,1100;2,1100;2,1100;
12-04-2024;2,1167;2,1167;2,1167;2,1167;2,1167;
11-04-2024;2,0977;2,0977;2,0977;2,0977;2,0977;
10-04-2024;2,1104;2,1104;2,1104;2,1104;2,1104;
09-04-2024;2,1007;2,1007;2,1007;2,1007;2,1007;
08-04-2024;2,1154;2,1154;2,1154;2,1154;2,1154;
05-04-2024;2,1093;2,1093;2,1093;2,1093;2,1093;
04-04-2024;2,1281;2,1281;2,1281;2,1281;2,1281;
03-04-2024;2,1289;2,1289;2,1289;2,1289;2,1289;
02-04-2024;2,1555;2,1555;2,1555;2,1555;2,1555;
01-04-2024;2,1494;2,1494;2,1494;2,1494;2,1494;
27-03-2024;2,1635;2,1635;2,1635;2,1635;2,1635;
26-03-2024;2,1713;2,1713;2,1713;2,1713;2,1713;
25-03-2024;2,1854;2,1854;2,1854;2,1854;2,1854;
22-03-2024;2,1817;2,1817;2,1817;2,1817;2,1817;
21-03-2024;2,1722;2,1722;2,1722;2,1722;2,1722;
20-03-2024;2,1642;2,1642;2,1642;2,1642;2,1642;
19-03-2024;2,1226;2,1226;2,1226;2,1226;2,1226;
15-03-2024;2,1380;2,1380;2,1380;2,1380;2,1380;
14-03-2024;2,1455;2,1455;2,1455;2,1455;2,1455;
13-03-2024;2,1692;2,1692;2,1692;2,1692;2,1692;
12-03-2024;2,1314;2,1314;2,1314;2,1314;2,1314;
11-03-2024;2,1406;2,1406;2,1406;2,1406;2,1406;
08-03-2024;2,1665;2,1665;2,1665;2,1665;2,1665;
07-03-2024;2,1352;2,1352;2,1352;2,1352;2,1352;
06-03-2024;2,1322;2,1322;2,1322;2,1322;2,1322;
05-03-2024;2,1685;2,1685;2,1685;2,1685;2,1685;
04-03-2024;2,1876;2,1876;2,1876;2,1876;2,1876;
01-03-2024;2,1666;2,1666;2,1666;2,1666;2,1666;
29-02-2024;2,1592;2,1592;2,1592;2,1592;2,1592;
28-02-2024;2,1558;2,1558;2,1558;2,1558;2,1558;
27-02-2024;2,1539;2,1539;2,1539;2,1539;2,1539;
26-02-2024;2,1583;2,1583;2,1583;2,1583;2,1583;
23-02-2024;2,1548;2,1548;2,1548;2,1548;2,1548;
22-02-2024;2,0865;2,0865;2,0865;2,0865;2,0865;
21-02-2024;2,0973;2,0973;2,0973;2,0973;2,0973;
20-02-2024;2,1197;2,1197;2,1197;2,1197;2,1197;
19-02-2024;2,1204;2,1204;2,1204;2,1204;2,1204;
16-02-2024;2,1403;2,1403;2,1403;2,1403;2,1403;
15-02-2024;2,1346;2,1346;2,1346;2,1346;2,1346;
14-02-2024;2,1162;2,1162;2,1162;2,1162;2,1162;
13-02-2024;2,1350;2,1350;2,1350;2,1350;2,1350;
12-02-2024;2,1451;2,1451;2,1451;2,1451;2,1451;
09-02-2024;2,1356;2,1356;2,1356;2,1356;2,1356;
08-02-2024;2,1198;2,1198;2,1198;2,1198;2,1198;
07-02-2024;2,0912;2,0912;2,0912;2,0912;2,0912;
06-02-2024;2,1075;2,1075;2,1075;2,1075;2,1075;
02-02-2024;2,0488;2,0488;2,0488;2,0488;2,0488;
01-02-2024;2,0337;2,0337;2,0337;2,0337;2,0337;
31-01-2024;2,0699;2,0699;2,0699;2,0699;2,0699;
30-01-2024;2,0850;2,0850;2,0850;2,0850;2,0850;
29-01-2024;2,0474;2,0474;2,0474;2,0474;2,0474;
26-01-2024;2,0522;2,0522;2,0522;2,0522;2,0522;
25-01-2024;2,0574;2,0574;2,0574;2,0574;2,0574;
24-01-2024;2,0523;2,0523;2,0523;2,0523;2,0523;
23-01-2024;2,0313;2,0313;2,0313;2,0313;2,0313;
22-01-2024;2,0207;2,0207;2,0207;2,0207;2,0207;
19-01-2024;2,0034;2,0034;2,0034;2,0034;2,0034;
18-01-2024;1,9850;1,9850;1,9850;1,9850;1,9850;
17-01-2024;1,9908;1,9908;1,9908;1,9908;1,9908;
16-01-2024;1,9670;1,9670;1,9670;1,9670;1,9670;
15-01-2024;1,9641;1,9641;1,9641;1,9641;1,9641;
12-01-2024;1,9701;1,9701;1,9701;1,9701;1,9701;
11-01-2024;1,9746;1,9746;1,9746;1,9746;1,9746;
10-01-2024;1,9494;1,9494;1,9494;1,9494;1,9494;
09-01-2024;1,9310;1,9310;1,9310;1,9310;1,9310;
08-01-2024;1,9121;1,9121;1,9121;1,9121;1,9121;
05-01-2024;1,9233;1,9233;1,9233;1,9233;1,9233;
04-01-2024;1,9221;1,9221;1,9221;1,9221;1,9221;
03-01-2024;1,9424;1,9424;1,9424;1,9424;1,9424;
02-01-2024;1,9641;1,9641;1,9641;1,9641;1,9641;
29-12-2023;1,9725;1,9725;1,9725;1,9725;1,9725;
28-12-2023;1,9706;1,9706;1,9706;1,9706;1,9706;
27-12-2023;1,9682;1,9682;1,9682;1,9682;1,9682;
26-12-2023;1,9643;1,9643;1,9643;1,9643;1,9643;
22-12-2023;1,9710;1,9710;1,9710;1,9710;1,9710;
21-12-2023;1,9501;1,9501;1,9501;1,9501;1,9501;
20-12-2023;1,9726;1,9726;1,9726;1,9726;1,9726;
19-12-2023;1,9685;1,9685;1,9685;1,9685;1,9685;
18-12-2023;1,9579;1,9579;1,9579;1,9579;1,9579;
15-12-2023;1,9456;1,9456;1,9456;1,9456;1,9456;
14-12-2023;1,9441;1,9441;1,9441;1,9441;1,9441;
13-12-2023;1,9305;1,9305;1,9305;1,9305;1,9305;
11-12-2023;1,9263;1,9263;1,9263;1,9263;1,9263;
08-12-2023;1,9308;1,9308;1,9308;1,9308;1,9308;
07-12-2023;1,8869;1,8869;1,8869;1,8869;1,8869;
06-12-2023;1,9069;1,9069;1,9069;1,9069;1,9069;
05-12-2023;1,9170;1,9170;1,9170;1,9170;1,9170;
04-12-2023;1,9053;1,9053;1,9053;1,9053;1,9053;
01-12-2023;1,9207;1,9207;1,9207;1,9207;1,9207;
30-11-2023;1,9029;1,9029;1,9029;1,9029;1,9029;
29-11-2023;1,8904;1,8904;1,8904;1,8904;1,8904;
28-11-2023;1,8839;1,8839;1,8839;1,8839;1,8839;
27-11-2023;1,8839;1,8839;1,8839;1,8839;1,8839;
24-11-2023;1,8940;1,8940;1,8940;1,8940;1,8940;
23-11-2023;1,8940;1,8940;1,8940;1,8940;1,8940;
22-11-2023;1,8951;1,8951;1,8951;1,8951;1,8951;
21-11-2023;1,8821;1,8821;1,8821;1,8821;1,8821;
17-11-2023;1,8811;1,8811;1,8811;1,8811;1,8811;
16-11-2023;1,8856;1,8856;1,8856;1,8856;1,8856;
15-11-2023;1,8893;1,8893;1,8893;1,8893;1,8893;
14-11-2023;1,8789;1,8789;1,8789;1,8789;1,8789;
13-11-2023;1,8779;1,8779;1,8779;1,8779;1,8779;
10-11-2023;1,8668;1,8668;1,8668;1,8668;1,8668;
09-11-2023;1,8530;1,8530;1,8530;1,8530;1,8530;
08-11-2023;1,8395;1,8395;1,8395;1,8395;1,8395;
07-11-2023;1,8354;1,8354;1,8354;1,8354;1,8354;
06-11-2023;1,8213;1,8213;1,8213;1,8213;1,8213;
03-11-2023;1,7902;1,7902;1,7902;1,7902;1,7902;
01-11-2023;1,7824;1,7824;1,7824;1,7824;1,7824;
31-10-2023;1,7769;1,7769;1,7769;1,7769;1,7769;
30-10-2023;1,7604;1,7604;1,7604;1,7604;1,7604;
